id,butterfly_taxon,host,publication,taxonomic_plausibility,supports_association,recommended_evidence_level,final_evidence_level,final_confidence,flags,adversarial_agree,justification
assoc_0151,Episcada hymenaea,Brunfelsia uniflora (Solanaceae),"Beccaloni et al. 2008, Catalogue of the Hostplants of the Neotropical Butterflies / Catálogo de las Plantas Huésped de las Mariposas Neotropicales (Monografías Tercer Milenio, SEA/RIBES-CYTED/NHM)",plausible,plausible_uncertain,needs_check,needs_check,low,beccaloni-dubious-marker; old-record-silva-1968; notes-source-mismatch; confidence-inflated-in-record,True,Plausible Solanaceae pairing but Silva et al. 1968 catalogue-dubious; record 'high' confidence and D&B note do not match cited source. Downgrade to needs_check/low.
assoc_0194,Godyris zavaleta,Cestrum nr nocturnum (Solanaceae),"Beccaloni et al. 2008, Catalogue of the Hostplants of the Neotropical Butterflies / Catálogo de las Plantas Huésped de las Mariposas Neotropicales (Monografías Tercer Milenio, SEA/RIBES-CYTED/NHM)",plausible,supports,literature,literature,medium,embedded-primary-pers-comm; oviposition-record; host-name-imprecise-nr,True,"Godyris on Cestrum (Solanaceae) is taxonomically typical; embedded Haber oviposition records (Costa Rica) support it at catalogue level, but host ID is 'nr' so species display uncertain."
assoc_0236,Heliconius erato,Passiflora auriculata (Passifloraceae),"Beccaloni et al. 2008, Catalogue of the Hostplants of the Neotropical Butterflies / Catálogo de las Plantas Huésped de las Mariposas Neotropicales (Monografías Tercer Milenio, SEA/RIBES-CYTED/NHM)",plausible,plausible_uncertain,needs_check,literature,medium,,True,"Heliconius erato is a HELICONIINE; Passiflora is its correct host so biologically plausible, but out-of-scope for Ithomiini and Beccaloni-dubious (Benson 1976, Bolivia)."
assoc_0244,Heliconius erato,Passiflora coriacea (Passifloraceae),"Beccaloni et al. 2008, Catalogue of the Hostplants of the Neotropical Butterflies / Catálogo de las Plantas Huésped de las Mariposas Neotropicales (Monografías Tercer Milenio, SEA/RIBES-CYTED/NHM)",plausible,plausible_uncertain,needs_check,literature,medium,,True,"Heliconiine H. erato on Passiflora is correct biology but non-Ithomiini and catalogue-dubious (Benson 1976, Colombia); flag Passifloraceae, keep needs_check."
assoc_0261,Heliconius erato,Passiflora morifolia (Passifloraceae),"Beccaloni et al. 2008, Catalogue of the Hostplants of the Neotropical Butterflies / Catálogo de las Plantas Huésped de las Mariposas Neotropicales (Monografías Tercer Milenio, SEA/RIBES-CYTED/NHM)",plausible,plausible_uncertain,needs_check,literature,medium,,True,"H. erato (heliconiine) on Passiflora morifolia is biologically correct but out-of-scope for Ithomiini and Beccaloni-dubious (Benson 1976, SE Brazil)."
assoc_0293,Heliconius numata,Passiflora sp. (Passifloraceae),"Beccaloni et al. 2008, Catalogue of the Hostplants of the Neotropical Butterflies / Catálogo de las Plantas Huésped de las Mariposas Neotropicales (Monografías Tercer Milenio, SEA/RIBES-CYTED/NHM)",plausible,plausible_uncertain,literature,literature,low,host-genus-only,True,"Heliconius numata is a heliconiine; Passiflora is its correct host (plausible biology) but non-Ithomiini. Silva et al. 1968 catalogue record, genus-only; flag Passifloraceae."
assoc_0301,Heliconius numata,Passiflora bahiensis (Passifloraceae),"Beccaloni et al. 2008, Catalogue of the Hostplants of the Neotropical Butterflies / Catalogo de las Plantas Huesped de las Mariposas Neotropicales (no embedded primary)",plausible,plausible_uncertain,needs_check,literature,medium,,True,"Heliconius (heliconiine, not Ithomiini); Passiflora is correct host but Beccaloni flags this row dubious via Benson et al. 1976; keep needs_check."
assoc_0296,Heliconius numata,Passiflora nr acuminata (Passifloraceae),"Beccaloni et al. 2008, Catalogue of the Hostplants of the Neotropical Butterflies / Catalogo de las Plantas Huesped de las Mariposas Neotropicales (no embedded primary)",plausible,plausible_uncertain,literature,literature,low,near-species-id,True,Heliconius on Passiflora (correct host); Benson et al. 1976 supports genus-level use; 'nr acuminata' uncertain so no exact species claim.
assoc_0299,Heliconius numata,Passiflora nr ambigua (Passifloraceae),"Beccaloni et al. 2008, Catalogue of the Hostplants of the Neotropical Butterflies / Catalogo de las Plantas Huesped de las Mariposas Neotropicales (no embedded primary)",plausible,plausible_uncertain,literature,literature,low,near-species-id; personal-communication-source,True,Heliconius on Passiflora (correct host); Mallet p.c. 1982 rearing-collection ref credible but catalogue-relayed; 'nr ambigua' uncertain.
assoc_0316,Heliconius numata,Passiflora nr nitida (Passifloraceae),"Beccaloni et al. 2008, Catalogue of the Hostplants of the Neotropical Butterflies / Catalogo de las Plantas Huesped de las Mariposas Neotropicales (no embedded primary)",plausible,plausible_uncertain,literature,literature,low,near-species-id,True,Heliconius on Passiflora (correct host); Benson et al. 1976 supports genus-level use; 'nr nitida' precludes species-level confidence despite source's high tag.
assoc_0322,Heliconius numata,Passiflora nr riparia (Passifloraceae),"Beccaloni et al. 2008, Catalogue of the Hostplants of the Neotropical Butterflies / Catalogo de las Plantas Huesped de las Mariposas Neotropicales (no embedded primary)",plausible,plausible_uncertain,literature,literature,low,near-species-id,True,Heliconius on Passiflora (correct host); Benson et al. 1976 SW Brazil; 'nr riparia' uncertain so genus-level only.
assoc_0287,Heliconius numata,Passiflora nr spinosa (Passifloraceae),"Beccaloni et al. 2008, Catalogue of the Hostplants of the Neotropical Butterflies / Catalogo de las Plantas Huesped de las Mariposas Neotropicales (no embedded primary)",plausible,plausible_uncertain,literature,literature,low,near-species-id; oviposition-record; personal-communication-source,True,Heliconius on Passiflora (correct host); Mallet p.c. 1986 oviposition is direct host-use but catalogue-relayed; 'nr spinosa' uncertain.
assoc_0318,Heliconius numata,Passiflora oerstedii (Passifloraceae),"Beccaloni et al. 2008, Catalogue of the Hostplants of the Neotropical Butterflies / Catalogo de las Plantas Huesped de las Mariposas Neotropicales (no embedded primary)",plausible,plausible_uncertain,needs_check,literature,medium,,True,Heliconius on Passiflora (correct host) but Beccaloni marks this Benson et al. 1976 Venezuela row dubious; keep needs_check.
assoc_0327,Heliconius numata,Passiflora vitifolia (Passifloraceae),"Beccaloni et al. 2008, Catalogue of the Hostplants of the Neotropical Butterflies / Catalogo de las Plantas Huesped de las Mariposas Neotropicales (no embedded primary)",plausible,plausible_uncertain,needs_check,literature,medium,,True,Heliconius on Passiflora (correct host) but Beccaloni marks this Benson et al. 1976 Colombia row dubious; keep needs_check.
assoc_0339,Heliconius sara,Passiflora coriacea (Passifloraceae),"Beccaloni et al. 2008, Catalogue of the Hostplants of the Neotropical Butterflies / Catalogo de las Plantas Huesped de las Mariposas Neotropicales (no embedded primary)",plausible,plausible_uncertain,needs_check,literature,low,heliconiine_passiflora_in_scope; personal_communication_literature_only; not_needs_check; captive,True,Heliconius sara on Passiflora (correct host); Hall p.c. 1992 captive-only and Beccaloni-dubious; captive feeding not wild host; keep needs_check.
assoc_0346,Heliconius sara,Passiflora mucronata (Passifloraceae),"Beccaloni et al. 2008, Catalogue of the Hostplants of the Neotropical Butterflies / Catalogo de las Plantas Huesped de las Mariposas Neotropicales (no embedded primary)",plausible,plausible_uncertain,needs_check,literature,medium,,True,Heliconius sara on Passiflora (correct host) but Beccaloni marks this Benson et al. 1976 SE Brazil row dubious; keep needs_check.
assoc_0349,Heliconius sara,Passiflora nr rhamnifolia (Passifloraceae),"Beccaloni et al. 2008, Catalogue of the Hostplants of the Neotropical Butterflies / Catalogo de las Plantas Huesped de las Mariposas Neotropicales (no embedded primary)",plausible,plausible_uncertain,literature,literature,low,near-species-id,True,Heliconius sara on Passiflora (correct host); Benson et al. 1976 supports genus-level use; 'nr rhamnifolia' uncertain so no species claim.
assoc_0353,Heliconius sara,Passiflora spinosa (Passifloraceae),"Beccaloni et al. 2008, Catalogue of the Hostplants of the Neotropical Butterflies / Catalogo de las Plantas Huesped de las Mariposas Neotropicales (no embedded primary)",plausible,plausible_uncertain,needs_check,literature,medium,,True,Heliconius sara on Passiflora (correct host) but Beccaloni marks this Benson et al. 1976 SW Brazil row dubious; keep needs_check.
assoc_0355,Heliconius sara,Passiflora suberosa (Passifloraceae),"Beccaloni et al. 2008, Catalogue of the Hostplants of the Neotropical Butterflies / Catalogo de las Plantas Huesped de las Mariposas Neotropicales (no embedded primary)",plausible,plausible_uncertain,needs_check,literature,medium,,True,Heliconius sara on Passiflora suberosa (a known heliconiine host) but Beccaloni marks this Benson et al. 1976 SE Brazil row dubious; keep needs_check.
assoc_0356,Heliconius sara,Passiflora truncata (Passifloraceae),"Beccaloni et al. 2008, Catalogue of the Hostplants of the Neotropical Butterflies / Catalogo de las Plantas Huesped de las Mariposas Neotropicales (no embedded primary)",plausible,plausible_uncertain,needs_check,literature,medium,,True,Heliconius sara on Passiflora (correct host) but Beccaloni marks this Benson et al. 1976 SE Brazil row dubious; keep needs_check.
assoc_0858,Hypoleria ocalea,Cestrum sp. (Solanaceae),"Beccaloni et al. 2008, Catalogue of the Hostplants of the Neotropical Butterflies / Catalogo de las Plantas Huesped de las Mariposas Neotropicales (no embedded primary)",plausible,supports,literature,literature,high,genus-level-host; reared-immatures; embedded-primary-not-beccaloni,True,"True Ithomiini on Cestrum (Solanaceae) - classic host; reared from field-collected immatures, Muriel et al. 2011 Colombia (not Beccaloni-only); strong record."
assoc_0437,Ithomia agnosia,Physalis nr peruviana (Solanaceae),"Beccaloni et al. 2008, Catalogue of the Hostplants of the Neotropical Butterflies / Catalogo de las Plantas Huesped de las Mariposas Neotropicales (no embedded primary)",plausible,supports,literature,literature,medium,near-species-id; embedded-primary-beccaloni-1995,True,True Ithomiini (Ithomia) on Physalis/Solanaceae - typical host; Beccaloni 1995 Ecuador primary; 'nr peruviana' caps to genus-level confidence.
assoc_0463,Ithomia lichyi,Aureliana sp. (Solanaceae),"Beccaloni et al. 2008, Catalogue of the Hostplants of the Neotropical Butterflies / Catalogo de las Plantas Huesped de las Mariposas Neotropicales",plausible,plausible_uncertain,literature,literature,medium,catalogue-only; embedded-personal-communication; genus-level-host,True,"Ithomia on Solanaceae (Aureliana) is typical; Beccaloni catalogue row backed by Freitas p.c. 1990 (SP, Brazil). Catalogue-level literature, genus-only."
assoc_0492,Mechanitis lysimnia,Brunfelsia uniflora (Solanaceae),"Beccaloni et al. 2008, Catalogue of the Hostplants of the Neotropical Butterflies / Catalogo de las Plantas Huesped de las Mariposas Neotropicales",atypical,plausible_uncertain,needs_check,literature,low,legit-solanaceae-genus-brunfelsia; beccaloni-open-circle-plausible-not-wrong; traceable-primary-source-silva-1968; catalogue-mediated-not-direct; confidence-downgraded-from-stored-high,True,"Beccaloni flags this dubious; Silva et al. 1968 old source. Mechanitis normally on Solanum-group, not Brunfelsia; keep needs_check."
assoc_0850,Mechanitis menapis,Solanum atropurpureum (Solanaceae),"Beccaloni et al. 2008, Catalogue of the Hostplants of the Neotropical Butterflies / Catalogo de las Plantas Huesped de las Mariposas Neotropicales",plausible,supports,direct,direct,high,reared-immatures; new-host-record; not-beccaloni-sourced,True,Muriel et al. 2011 reared field-collected immatures; new host record. Mechanitis on Solanum is textbook. Direct rearing evidence.
assoc_0856,Mechanitis menapis,Solanum rudepannum (=S. torvum) (Solanaceae),"Beccaloni et al. 2008, Catalogue of the Hostplants of the Neotropical Butterflies / Catalogo de las Plantas Huesped de las Mariposas Neotropicales",plausible,supports,direct,direct,high,reared-immatures; corroborated-Constantino1996; synonymy-per-source; not-beccaloni-sourced,True,"Muriel et al. 2011 reared immatures; also reported by Constantino 1996. Mechanitis on Solanum typical. Direct rearing, corroborated."
assoc_0867,Mechanitis messenoides,"naranjilla-like Solanum (genus, unresolved)","Beccaloni et al. 2008, Catalogue of the Hostplants of the Neotropical Butterflies / Catalogo de las Plantas Huesped de las Mariposas Neotropicales",plausible,supports,direct,direct,medium,field-host-record; unresolved-common-name-category; genus-level-host; do-not-convert-to-exact-species; not-beccaloni-sourced,True,Hill et al. 2012 field host record; Mechanitis on Solanum typical. Direct but plant only to naranjilla-like Solanum category; keep genus-level.
assoc_0868,Mechanitis messenoides,"naranjilla-like Solanum seedling (genus, unresolved)","Beccaloni et al. 2008, Catalogue of the Hostplants of the Neotropical Butterflies / Catalogo de las Plantas Huesped de las Mariposas Neotropicales",plausible,supports,direct,direct,medium,field-host-record; unresolved-common-name-category; genus-level-host; do-not-convert-to-exact-species; not-beccaloni-sourced,True,"Hill et al. 2012 field record (17/50); Mechanitis on Solanum typical. Direct, but unresolved naranjilla-Solanum category; keep genus-level."
assoc_0866,Mechanitis messenoides,Solanum cf. cacosmum (Solanaceae),"Beccaloni et al. 2008, Catalogue of the Hostplants of the Neotropical Butterflies / Catalogo de las Plantas Huesped de las Mariposas Neotropicales",plausible,supports,direct,direct,medium,field-host-record; cf-uncertain-plant-id; do-not-convert-to-exact-species; not-beccaloni-sourced,True,"Hill et al. 2012 field record; Mechanitis on Solanum typical. Direct but plant cf.-level; retain as uncertain species, no exact overlay."
assoc_0865,Mechanitis messenoides,Solanum cf. sessiliflorum (Solanaceae),"Beccaloni et al. 2008, Catalogue of the Hostplants of the Neotropical Butterflies / Catalogo de las Plantas Huesped de las Mariposas Neotropicales",plausible,supports,direct,direct,medium,field-host-record; cf-uncertain-plant-id; do-not-convert-to-exact-species; not-beccaloni-sourced,True,"Hill et al. 2012 field record (5/50); Mechanitis on Solanum typical. Direct but plant cf.-level; retain as uncertain species, no exact overlay."
assoc_0577,Mechanitis polymnia,Solanum sp. (Solanaceae),"Beccaloni et al. 2008, Catalogue of the Hostplants of the Neotropical Butterflies / Catalogo de las Plantas Huesped de las Mariposas Neotropicales",plausible,supports,literature,literature,medium,catalogue-only; embedded-personal-communication; genus-level-host,True,"Mechanitis polymnia on Solanum is the canonical pairing; Beccaloni row backed by Bizarro/Freitas p.c. Catalogue-level literature, genus-only."
assoc_0564,Mechanitis polymnia,Brunfelsia grandiflora (Solanaceae),"Beccaloni et al. 2008, Catalogue of the Hostplants of the Neotropical Butterflies / Catalogo de las Plantas Huesped de las Mariposas Neotropicales",atypical,plausible_uncertain,needs_check,literature,low,legit-solanaceae-genus-brunfelsia; beccaloni-open-circle-plausible-not-wrong; traceable-primary-source-silva-1968; catalogue-mediated-not-direct; confidence-downgraded-from-stored-high,True,"Beccaloni dubious marker; Silva et al. 1968 old source. Mechanitis typically Solanum-group, Brunfelsia atypical; keep needs_check."
assoc_0567,Mechanitis polymnia,Cyphomandra corymbiflora (Solanaceae),"Beccaloni et al. 2008, Catalogue of the Hostplants of the Neotropical Butterflies / Catalogo de las Plantas Huesped de las Mariposas Neotropicales",plausible,plausible_uncertain,literature,literature,medium,catalogue-only; embedded-personal-communication,True,Cyphomandra (=Solanum s.l.) is a known Mechanitis host; Beccaloni row backed by Bizarro p.c. 1997. Catalogue-level literature.
assoc_0573,Mechanitis polymnia,Jaltomata procumbens (Solanaceae),"Beccaloni et al. 2008, Catalogue of the Hostplants of the Neotropical Butterflies / Catalogo de las Plantas Huesped de las Mariposas Neotropicales",atypical,plausible_uncertain,needs_check,literature,low,legit-solanaceae-genus-jaltomata; personal-communication-literature-not-direct; named-traceable-source-haber-pc; correctly-not-promoted-to-direct,True,Beccaloni dubious marker; Haber p.c. only. Jaltomata is Solanaceae but unusual for Mechanitis; keep needs_check pending corroboration.
assoc_0633,Melinaea menophilus,Juanulloa sp. (Solanaceae),"Beccaloni et al. 2008, Catalogue of the Hostplants of the Neotropical Butterflies / Catalogo de las Plantas Huesped de las Mariposas Neotropicales",plausible,supports,literature,literature,medium,catalogue-only; embedded-personal-communication; oviposition-noted; genus-level-host,True,Melinaea on Juanulloa (Solanaceae) is typical for the genus; Beccaloni row with Mallet oviposition note (RC:86-25) plus Freitas p.c. Catalogue literature.
assoc_0641,Methona confusa,Brunfelsia sp. (Solanaceae),"Beccaloni et al. 2008, Catalogue of the Hostplants of the Neotropical Butterflies / Catalogo de las Plantas Huesped de las Mariposas Neotropicales",plausible,supports,literature,literature,medium,catalogue-only; embedded-personal-communication; genus-level-host,True,"Methona is a classic Brunfelsia (Solanaceae) feeder; Beccaloni row backed by Freitas and Mallet p.c. Catalogue-level literature, genus-only."
assoc_0653,Methona themisto,Brunfelsia americana (Solanaceae),"Beccaloni et al. 2008, Catalogue of the Hostplants of the Neotropical Butterflies / Catalogo de las Plantas Huesped de las Mariposas Neotropicales",plausible,plausible_uncertain,literature,literature,low,personal_communication_literature_only; legitimate_solanaceae_host; captive; not_needs_check,True,"Methona on Brunfelsia is typical; but record is captive (Hall p.c. 1986, no locality). Credible host-use but distinguish from wild use; catalogue literature."
assoc_0668,Napeogenes sylphis,Solanum nr extensum (Solanaceae),"Beccaloni et al. 2008, Catalogue of the Hostplants of the Neotropical Butterflies / Catalogo de las Plantas Huesped de las Mariposas Neotropicales",plausible,supports,literature,literature,medium,embedded-primary-Beccaloni1995; nr-uncertain-plant-id; do-not-convert-to-exact-species,True,"Embedded primary Beccaloni 1995 (real authoritative Ithomiine source), Ecuador. Napeogenes on Solanum typical; plant nr-level, keep uncertain species."
assoc_0687,Oleria onega,"Solanum sp. (sect. Pteroidea), Solanaceae","Beccaloni et al. 2008, Catalogue of the Hostplants of the Neotropical Butterflies / Catálogo de las Plantas Huésped de las Mariposas Neotropicales (Monografías Tercer Milenio vol. 8, SEA/RIBES-CYTED/NHM)",plausible,plausible_uncertain,literature,literature,medium,catalogue-only; personal-communication-primary; host-genus-level-only,True,"Oleria (Oleriina) on Solanum is textbook Solanaceae host use; backed by Mallet p.c. 1984 reared-code in Beccaloni catalogue. Genus-level, p.c. only: literature/medium."
assoc_0734,Pteronymia artena,"Solanum aphyodendron, Solanaceae","Beccaloni et al. 2008, Catalogue of the Hostplants of the Neotropical Butterflies / Catálogo de las Plantas Huésped de las Mariposas Neotropicales (Monografías Tercer Milenio vol. 8, SEA/RIBES-CYTED/NHM)",plausible,supports,literature,literature,medium,catalogue-only; in-press-primary-citation,True,"Pteronymia on Solanum is typical Ithomiini host use. Cited to Knapp (in press) via Beccaloni catalogue; species-level but catalogue-mediated, so literature not direct."
assoc_0740,Pteronymia euritea,"Solanum nr pseudoquina, Solanaceae","Beccaloni et al. 2008, Catalogue of the Hostplants of the Neotropical Butterflies / Catálogo de las Plantas Huésped de las Mariposas Neotropicales (Monografías Tercer Milenio vol. 8, SEA/RIBES-CYTED/NHM)",plausible,plausible_uncertain,literature,literature,medium,catalogue-only; personal-communication-primary; imprecise-host-id-nr,True,"Pteronymia on Solanum is plausible; host is 'nr pseudoquina' (uncertain ID) from Freitas p.c. 1994 in catalogue. Literature/medium, avoid exact species overlay."
assoc_0765,Pteronymia sylvo,"Brunfelsia australis, Solanaceae","Beccaloni et al. 2008, Catalogue of the Hostplants of the Neotropical Butterflies / Catálogo de las Plantas Huésped de las Mariposas Neotropicales (Monografías Tercer Milenio vol. 8, SEA/RIBES-CYTED/NHM)",plausible,plausible_uncertain,needs_check,needs_check,low,catalogue-only; marked-dubious-in-source; old-record-Biezanko-1974,True,"Brunfelsia (Solanaceae) is a valid Ithomiini host genus, but Beccaloni flags this Biezanko et al. 1974b Uruguay record as dubious; keep needs_check/low pending primary verification."
assoc_0778,Pteronymia veia,"Cuatresia riparia, Solanaceae","Beccaloni et al. 2008, Catalogue of the Hostplants of the Neotropical Butterflies / Catálogo de las Plantas Huésped de las Mariposas Neotropicales (Monografías Tercer Milenio vol. 8, SEA/RIBES-CYTED/NHM)",plausible,supports,literature,literature,medium,catalogue-only; personal-communication-primary,True,"Cuatresia is a Solanaceae genus used by Ithomiini; Pteronymia veia pairing plausible. Salazar p.c. 1997 via catalogue: species-level but p.c./catalogue, so literature/medium."
assoc_0785,Scada karschina,"Solanum nr pseudoquina, Solanaceae","Beccaloni et al. 2008, Catalogue of the Hostplants of the Neotropical Butterflies / Catálogo de las Plantas Huésped de las Mariposas Neotropicales (Monografías Tercer Milenio vol. 8, SEA/RIBES-CYTED/NHM)",plausible,plausible_uncertain,literature,literature,medium,catalogue-only; personal-communication-primary; imprecise-host-id-nr,True,"Scada (Mechanitina) on Solanum is typical; host 'nr pseudoquina' uncertain, from Freitas p.c. 1994 in catalogue. Literature/medium, avoid exact species overlay."
assoc_0791,Thyridia psidii,"Cyphomandra sp., Solanaceae","Beccaloni et al. 2008, Catalogue of the Hostplants of the Neotropical Butterflies / Catálogo de las Plantas Huésped de las Mariposas Neotropicales (Monografías Tercer Milenio vol. 8, SEA/RIBES-CYTED/NHM)",plausible,supports,literature,literature,medium,catalogue-only; personal-communication-primary; host-genus-level-only,True,"Thyridia psidii is a well-known Cyphomandra (=Solanum betaceum group) feeder; two independent p.c. records (Freitas, Mallet) in catalogue. Genus-level/p.c.: literature/medium."
assoc_0811,Tithorea harmonia,"Prestonia nr portobellensis, Apocynaceae","Beccaloni et al. 2008, Catalogue of the Hostplants of the Neotropical Butterflies / Catálogo de las Plantas Huésped de las Mariposas Neotropicales (Monografías Tercer Milenio vol. 8, SEA/RIBES-CYTED/NHM)",plausible,supports,literature,literature,medium,catalogue-only; imprecise-host-id-nr; apocynaceae-host-tithoreina,True,Tithorea (Tithoreina) characteristically feeds on Apocynaceae incl. Prestonia; backed by Muyshondt et al. 1976 reared study. Host ID 'nr' uncertain: literature/medium not needs_check.
assoc_0817,Tithorea tarricina,"Prestonia nr portobellensis, Apocynaceae","Beccaloni et al. 2008, Catalogue of the Hostplants of the Neotropical Butterflies / Catálogo de las Plantas Huésped de las Mariposas Neotropicales (Monografías Tercer Milenio vol. 8, SEA/RIBES-CYTED/NHM)",plausible,supports,literature,literature,medium,catalogue-only; imprecise-host-id-nr; apocynaceae-host-tithoreina,True,Tithorea tarricina on Prestonia (Apocynaceae) is the expected Tithoreina host use; Muyshondt et al. 1976 reared record via catalogue. 'nr' host ID uncertain: literature/medium.
assoc_0015,Callithomia hezia,Solanum nr pensile (Solanaceae),Drummond & Brown 1987,plausible,supports,literature,literature,medium,catalogue-mediated; imprecise-host-id,True,Callithomia on Solanum is canonical Ithomiini; D&B 1987 via Beccaloni supports it. 'nr pensile' is provisional so species-level imprecise.
assoc_0023,Ceratinia neso,Solanum sp. subg. Leptostemonum (Solanaceae),Drummond & Brown 1987,plausible,supports,literature,literature,medium,catalogue-mediated; genus-level-host,True,Ceratinia on Solanum is canonical; D&B 1987 via Beccaloni supports genus-level association. Host only to genus/subgenus.
assoc_0028,Ceratinia tutia,Solanum sp. sect. Geminata (Solanaceae),Drummond & Brown 1987,plausible,supports,literature,literature,medium,catalogue-mediated; genus-level-host,True,Ceratinia tutia on Solanum is canonical Ithomiini; D&B 1987 via Beccaloni supports it. Host resolved only to genus/section.
