id,butterfly_taxon,host,family,beccaloni_marker,checkability,checkability_why,biology_note,source_refs,why_needs_check
assoc_0189,Forbestra olivencia,Solanum,Solanaceae,●,medium,"named primary, locatable (old/print)",,"Neotropics: [Lamas, 1985]","Forbestra (Mechanitina) are Solanum specialists; pairing core, but Lamas-only catalogue trail caps at literature/medium, not high."
assoc_0364,Heterosais giulia,Cestrum,Solanaceae,●,medium,"named primary, locatable (old/print)",,"Neotropics: [Lamas, 1985 (ssp. nephele)]","Heterosais (Dircennina) on Cestrum is a typical Ithomiine pairing; plausible Lamas 1985 (ssp. nephele) catalogue record, literature-level."
assoc_0375,Hypoleria lavinia,Solanum,Solanaceae,○,medium,catalogue-embedded primary,,"Costa Rica: [Young, 1978e (ssp. cassotis)]","Hypoleria lavinia (Oleriina) on Solanum is taxonomically textbook-plausible; but record is catalogue-sourced via Beccaloni and flagged 'dubious', and Young 1978"
assoc_0387,Hypothyris euclea,Solanum,Solanaceae,●,medium,"named primary, locatable (old/print)",,"Neotropics: [Lamas, 1985 (ssp. euclea)]","Hypothyris feed on Solanum and Gesneriaceae; Solanum core and plausible, Lamas 1985 catalogue record at literature level."
assoc_0400,Hypothyris lycaste,Solanum rudepannum,Solanaceae,○,medium,"named primary, locatable (old/print)",,"Costa Rica: [DeVries, 1986 (ssp. callispila)]","Hypothyris is a canonical Solanum-feeding ithomiine; Solanum host plausible. Traced to real DeVries 1986 via Beccaloni. Catalogue-level, not re-verified: litera"
assoc_0403,Hypothyris lycaste,Solanum umbellatum,Solanaceae,○,medium,"named primary, locatable (old/print)",,"Costa Rica: [DeVries, 1986 (ssp. callispila)]",Hypothyris lycaste on Solanum is taxonomically core for Ithomiini. Cited to DeVries 1986 (real source) via Beccaloni catalogue; catalogue-level support = litera
assoc_0430,Ithomia agnosia,Acnistus,Solanaceae,●,medium,"named primary, locatable (old/print)",,"Neotropics: [Lamas, 1985]","Ithomia are Solanaceae feeders; Acnistus plausible, but Lamas-only catalogue trail caps at literature/medium not high."
assoc_0435,Ithomia agnosia,Physalis,Solanaceae,●,medium,"named primary, locatable (old/print)",,"Neotropics: [Lamas, 1985]","Physalis is a less typical but Solanaceous Ithomiine host; plausible-uncertain Lamas catalogue record, literature at low confidence."
assoc_0439,Ithomia agnosia,Vassobia,Solanaceae,●,medium,"named primary, locatable (old/print)",,"Neotropics: [Lamas, 1985]","Vassobia is Solanaceae; plausible Ithomia host from Lamas 1985 catalogue record, literature-level."
assoc_0429,Ithomia agnosia,Witheringia,Solanaceae,○,medium,"named primary, locatable (old/print)",,"Neotropics: [Lamas, 1985]","Witheringia is a core Ithomiine host, but Beccaloni flags this row dubious; keep needs_check despite plausible taxonomy."
assoc_0443,Ithomia diasia,Lycianthes heteroclita,Solanaceae,○,medium,"named primary, locatable (old/print)",,"Costa Rica: [DeVries, 1986 (ssp. hippocrenis)]",Ithomia commonly feeds on Lycianthes/Solanum; pairing plausible. Cited to DeVries 1986 via Beccaloni. Original record had low confidence but taxon is sound: lit
assoc_0464,Ithomia lichyi,Aureliana,Solanaceae,●,medium,"named primary, locatable (old/print)",,"Neotropics: [Lamas, 1985]",Aureliana is Solanaceae and a plausible Ithomia host; Lamas-only catalogue trail caps at literature/medium not high.
assoc_0462,Ithomia lichyi,Athenaea picta,Solanaceae,○,medium,"named primary, locatable (old/print)",,"Brazil: [SP, Drummond & Brown, 1987]","Athenaea is Solanaceae and plausible for Ithomia, but Beccaloni explicitly marks this row dubious; keep needs_check, low confidence."
assoc_0472,Ithomia salapia,Physalis,Solanaceae,●,medium,"named primary, locatable (old/print)",,"Neotropics: [Lamas, 1985]","Physalis is atypical but Solanaceous; plausible-uncertain Ithomia salapia host from Lamas catalogue, literature at low confidence."
assoc_0839,Mechanitis isthmia,Solanum rugosum,Solanaceae,,medium,catalogue-embedded primary,,Search result snippet states larval host plant Solanum rugosum.,Canonical pairing: Mechanitis is a classic Solanum-feeder; Solanum rugosum is a documented host. Young 1979 is a real primary life-history source with a traceab
assoc_0498,Mechanitis lysimnia,Cyphomandra velutina,Solanaceae,○,medium,"named primary, locatable (old/print)",,"Brazil: [Drummond & Brown, 1987 (ssp. lysimnia)]","Cyphomandra (=Solanum) is a known Mechanitis host group, but Beccaloni flags this row dubious; recommend needs_check, low despite worklist 'high'."
assoc_0547,Mechanitis mazaeus,Solanum,Solanaceae,●,medium,"named primary, locatable (old/print)",,"Neotropics: [Lamas, 1985]","Mechanitis are classic Solanum specialists; pairing core and plausible, Lamas 1985 catalogue record at literature level."
assoc_0572,Mechanitis polymnia,Datura stramonium,Solanaceae,○,medium,"named primary, locatable (old/print)",biologically doubtful (Datura); verify or reject,"Venezuela: [Guagliumi, 1967 (ssp. veritabilis)]","Mechanitis polymnia on Datura stramonium; Datura is chemically aberrant and rarely a true host, sole support is agricultural-survey Guagliumi 1967. Dubious."
assoc_0636,Melinaea menophilus,Markea,Solanaceae,○,medium,"named primary, locatable (old/print)",,"Neotropics: [Lamas, 1985]","Taxon plausible (Melinaea on Markea), but Beccaloni flags row as dubious; keep low/needs-check until primary source confirms."
assoc_0672,Napeogenes tolosa,Solanum,Solanaceae,○,medium,"named primary, locatable (old/print)",,"Costa Rica: [Drummond & Brown, 1987 (ssp. amara); DeVries, 1987 (ssp. amara)]","Solanum plausible for Napeogenes; flagged dubious in Beccaloni but two sources (D&B1987, DeVries1987); genus-level, medium."
assoc_0677,Oleria astrea,Lycianthes,Solanaceae,○,medium,"named primary, locatable (old/print)",,"Neotropics: [Lamas, 1985]","Oleria use understory Solanaceae (Lycianthes, Witheringia); plausible despite dubious marker. Catalogue row w/ Lamas 1985; literature-level."
assoc_0678,Oleria astrea,Solanum,Solanaceae,○,medium,"named primary, locatable (old/print)",,"Neotropics: [Lamas, 1985]","Oleria on Solanum plausible; Beccaloni dubious marker. Note doi_or_url points to a CABI immature-stages page; catalogue-level Lamas 1985 trail, literature."
assoc_0700,Olyras crathis,Schultesianthus megalandrus,Solanaceae,○,medium,"named primary, locatable (old/print)",,"Venezuela: [Drummond & Brown, 1987 (ssp. crathis)]",Schultesianthus is Solanaceae (Solandreae); plausible for Tithoreina genus Olyras; Beccaloni flags dubious so medium.
assoc_0701,Olyras crathis,Solandra grandiflora,Solanaceae,○,medium,"named primary, locatable (old/print)",,"Costa Rica: [Drummond & Brown, 1987 (ssp. staudingeri)]",Solandra is Solanaceae (Solandreae); plausible woody-Solanaceae host for Olyras; Beccaloni dubious marker lowers confidence.
assoc_0712,Placidina euryanassa,Cyphomandra betacea,Solanaceae,○,medium,"named primary, locatable (old/print)",,"Brazil: [Silva et al., 1968; RS, Drummond & Brown, 1987]; Uruguay: [Biezanko et al., 1974b","Cyphomandra/Solanum betaceum is Solanaceae and plausible, but Placidina mainly uses Brunfelsia; Beccaloni dubious, low confidence."
assoc_0713,Placidina euryanassa,Datura metel,Solanaceae,○,medium,"named primary, locatable (old/print)",biologically doubtful (Datura); verify or reject,"Uruguay: [Biezanko et al., 1976; Drummond & Brown, 1987]",PUSH BACK / REJECT the promotion to literature. Placidina euryanassa on Datura metel. This is precisely the carve-out in Rule 5: Datura is chemically aberrant a
assoc_0714,Placidina euryanassa,Datura stramonium,Solanaceae,○,medium,"named primary, locatable (old/print)",biologically doubtful (Datura); verify or reject,"Uruguay: [Drummond & Brown, 1987]",PUSH BACK / REJECT the promotion to literature. Placidina euryanassa on Datura stramonium. Same basis as assoc_0713 and squarely within the Rule 5 Datura carve-
assoc_0748,Pteronymia notilla,Capsicum,Solanaceae,○,medium,catalogue-embedded primary,,"Costa Rica: [Young, 1974c (ssp. notilla)]","Young 1974c is a real biology paper on P. notilla in Costa Rica; Capsicum (Solanaceae) is plausible Ithomiini host, but Beccaloni flagged the row dubious and fu"
assoc_0765,Pteronymia sylvo,Brunfelsia australis,Solanaceae,○,medium,catalogue-embedded primary,,"Uruguay: [Biezanko et al., 1974b]","Brunfelsia (Solanaceae) is a valid Ithomiini host genus, but Beccaloni flags this Biezanko et al. 1974b Uruguay record as dubious; keep needs_check/low pending "
assoc_0148,Episcada hymenaea,Brunfelsia,Solanaceae,○,low,untraceable source,,"Argentina: [Varga, 1997]","Episcada (Ithomiini) on Brunfelsia (Solanaceae) is taxonomically plausible, but only source is Beccaloni-embedded Varga 1997, untraceable and flagged dubious."
assoc_0715,Pseudoscada erruca,Brunfelsia,Solanaceae,○,low,untraceable source,,"Argentina: [Varga, 1997]","Pseudoscada (Ithomiini) on Brunfelsia (Solanaceae) is plausible, but sole citation is Beccaloni-embedded Varga 1997, untraceable and explicitly marked dubious."
